"","sector","sector_id","year","LP","K","NET","LH","KperLH","NETperLH","dLP","dK","dNET","dKperLH","dNETperLH"
"その他のサービス-1994","その他のサービス",29,"1994",2896.892755,485.5,762.5992099,945385.36,513.547195188214,806.654346646536,NA,NA,NA,NA,NA
"その他のサービス-1995","その他のサービス",29,"1995",2788.375156,472.7,785.0400103,964350.15,490.174652847827,814.061168860709,-0.0381796539502686,-0.0267183499321888,0.029002073656506,-0.046580172002713,0.00914025158598264
"その他のサービス-1996","その他のサービス",29,"1996",2794.303294,462,824.5276938,973434.06,474.608418776717,847.029837645089,0.00212376201899023,-0.0228960467174524,0.0490760450161316,-0.0322716794577227,0.0397004122758604
"その他のサービス-1997","その他のサービス",29,"1997",2635.111191,456.2,872.1601193,1025835.27,444.710777004187,850.195099355474,-0.0586574280143743,-0.0126335812314506,0.0561623000680695,-0.0650659509749376,0.00372993032458258
"その他のサービス-1998","その他のサービス",29,"1998",2528.040997,461.2,931.6249252,1058606.25,435.667180313738,880.048578213099,-0.0414806855051513,0.0109004785446158,0.0659572628092491,-0.0205455276012891,0.0345112566633441
"その他のサービス-1999","その他のサービス",29,"1999",2591.433363,469.6,982.8593766,1030761.6,455.585462244616,953.527349680081,0.0247664513168502,0.0180494801189832,0.0535357616609433,0.0447047180846356,0.0801909996265957
"その他のサービス-2000","その他のサービス",29,"2000",2743.150169,464.4,1035.294768,1018041.24,456.170125288834,1016.94776922789,0.0568958120824741,-0.0111350186901511,0.0519754105786658,0.00128249967940963,0.0643929289482266
"その他のサービス-2001","その他のサービス",29,"2001",2621.715805,465.7,1110.525422,1020209.74,456.474763708882,1088.52658277895,-0.0452779658877542,0.00279540016459556,0.0701470703116227,0.000667594669153004,0.0680192648161801
"その他のサービス-2002","その他のサービス",29,"2002",2717.974862,482.1,1188.806527,1003217.52,480.553808510043,1184.99378579433,0.0360580761414884,0.034609911423245,0.0681166288956501,0.0514057901731233,0.0849125076455284
"その他のサービス-2003","その他のサービス",29,"2003",2728.418097,491.9,1260.103662,1003955.37,489.962018929188,1255.13912236955,0.00383492262763507,0.0201238823897176,0.0582441036310666,0.0193886691582987,0.0575088903996477
"その他のサービス-2004","その他のサービス",29,"2004",2558.849796,500.9,1321.267801,1066983.3,469.454395396816,1238.3209755954,-0.0641641305123439,0.0181310365622771,0.0473977419513849,-0.0427567161856306,-0.0134900107965228
"その他のサービス-2005","その他のサービス",29,"2005",2713.756834,519.2,1375.952295,986934.41,526.073460140071,1394.16792145286,0.0587761014045123,0.0358826850263094,0.0405543386195264,0.113869701522014,0.118541355115232
"その他のサービス-2006","その他のサービス",29,"2006",2683.112837,527.1,1417.281572,995396.08,529.537950360423,1423.83680273284,-0.0113563336542679,0.0151011184712804,0.0295945813401746,0.00656397349452664,0.0210574363634199
"その他のサービス-2007","その他のサービス",29,"2007",2700.950545,532.8,1444.907572,981554.44,542.812480171757,1472.06055325877,0.00662613791819311,0.0107558353650186,0.0193047045858341,0.0247590853647788,0.0333079545855943
"その他のサービス-2008","その他のサービス",29,"2008",2646.219493,537.2,1470.80529,979302.74,548.553555563421,1501.89030411576,-0.0204717497463669,0.00822434542290296,0.0177647116158202,0.0105209950847973,0.0200613612777136
"その他のサービス-2009","その他のサービス",29,"2009",2546.380998,519.3,1459.935339,968185.83,536.363974672094,1507.90818638608,-0.0384588803530699,-0.0338887137988095,-0.0074179207372671,-0.0224719271516829,0.00399886590985954
"その他のサービス-2010","その他のサービス",29,"2010",2561.625843,493.2,1461.275275,950263.68,519.013838348531,1537.75768321483,0.00596901716772713,-0.0515669795600839,0.00091738410613118,-0.0328824415447535,0.0196019221214625
"その他のサービス-2011","その他のサービス",29,"2011",2523.622892,470,1453.464857,951211.85,494.106544194125,1528.01382468059,-0.0149466271843659,-0.0481820765860848,-0.00535926795553188,-0.0491793758556556,-0.00635656722510358
"その他のサービス-2012","その他のサービス",29,"2012",2490.874532,466.4,1473.613866,965114.85,483.258546897294,1526.87927866823,-0.0130616581567367,-0.00768905966782185,0.0137675335498333,-0.0221993662222335,-0.000742773004577479
"その他のサービス-2013","その他のサービス",29,"2013",2446.233847,466.7,1504.353745,956237.28,488.058779720448,1573.20131359028,-0.0180842299465773,0.000643017919487399,0.0206456045806052,0.00988404462923764,0.0298866312903554
