sector,sector_id,year,LP,K,NET,LH
農林水産業,1,1994,869.3926392,329.4,482.7145524,878291.31
鉱業,2,1994,5337.690188,6.4,789.7276348,19622.72
食料品,3,1994,4384.56203,168.9,536.4370923,317641.76
繊維製品,4,1994,1586.369737,90.2,482.5781901,309675.6
パルプ・紙・紙加工品,5,1994,4019.88443,30,475.7363811,74188.7
化学,6,1994,8839.281964,372.9,349.5629143,89524.24
石油・石炭製品,7,1994,102120.1289,58,86.14360118,9108.88
窯業・土石製品,8,1994,3322.469144,36.5,509.0359129,122761.11
一次金属,9,1994,7358.273644,137.2,213.2334779,114117.8
金属製品,10,1994,3054.689049,120,478.8715154,230638.86
はん用・生産用・業務用機械,11,1994,3476.500642,374.1,483.592067,340825.48
電子部品・デバイス,12,1994,410.2592755,197.8,360.9602116,150343.95
電気機械,13,1994,2634.368656,1090.8,515.3498936,181022.5
情報・通信機器,14,1994,859.5616567,277.6,557.6706479,90511.25
輸送用機械,15,1994,5205.505938,295.3,288.3546014,232325.16
その他の製造品,16,1994,1733.809755,394,526.9834059,522721.71
電気・ガス・水道・廃棄物処理業,17,1994,13610.04228,124.4,486.3372442,107406.72
建設業,18,1994,3006.738782,199.6,646.1572554,1434983.32
卸売・小売業,19,1994,3081.254077,1831.8,908.8318745,2142919.68
運輸・郵便業,20,1994,3667.450054,558.2,541.1924996,764228.54
宿泊・飲食サービス業,21,1994,2835.723759,235.6,737.2951581,634832.64
情報通信業,22,1994,4283.862292,2909.7,590.0714229,249622.87
金融・保険業,23,1994,6725.557991,2340.1,1073.741079,368727.77
不動産業,24,1994,27197.97973,175.8,1481.614764,188046.32
専門・科学技術、業務支援サービス業,25,1994,2311.989444,1188,1040.693949,876163.17
公務,26,1994,5927.141663,451.4,1152.170122,377932.59
教育,27,1994,4718.646897,167.7,938.6430834,355324.32
保健衛生・社会事業,28,1994,3328.346459,1041.4,765.1441422,619085.19
その他のサービス,29,1994,2896.892755,485.5,762.5992099,945385.36
農林水産業,1,1995,805.9764686,315.2,493.9771893,874640.92
鉱業,2,1995,5447.006517,6.5,807.5326805,18353.2
食料品,3,1995,4727.064683,171,541.4880679,311997
繊維製品,4,1995,1560.994563,92.3,494.5853756,302569.92
パルプ・紙・紙加工品,5,1995,4349.576755,30.4,487.0198704,71972.52
化学,6,1995,9553.106021,387.7,357.8143304,83644
石油・石炭製品,7,1995,104717.0056,60.4,88.21632559,8469.78
窯業・土石製品,8,1995,3530.885085,37.1,520.414961,116639.31
一次金属,9,1995,7875.388859,135.1,217.9389464,111190.7
金属製品,10,1995,3179.5734,121.9,487.416168,231320.34
はん用・生産用・業務用機械,11,1995,3770.403338,374.6,495.0870704,337486.44
電子部品・デバイス,12,1995,503.7016197,219.3,369.1855221,150704.3
電気機械,13,1995,2957.06098,1120,529.703028,173357.94
情報・通信機器,14,1995,1044.804956,250.1,577.9484452,85815.06
輸送用機械,15,1995,5597.396135,302.5,294.3622889,225274.39
その他の製造品,16,1995,1766.986029,411,538.8395105,507395.07
電気・ガス・水道・廃棄物処理業,17,1995,13933.88156,128.9,497.4651901,109406.7
建設業,18,1995,2917.338992,203.4,660.4521802,1448443.26
卸売・小売業,19,1995,3207.906158,1867.4,934.4882813,2172878.4
運輸・郵便業,20,1995,3741.905983,571.3,554.211261,779517.18
宿泊・飲食サービス業,21,1995,2796.622329,234.6,752.2981016,648139
情報通信業,22,1995,4888.38123,3021.5,600.6443154,241413.25
金融・保険業,23,1995,6347.37434,2424,1102.453369,371263.75
